Id,Next,Category,Time,Description
1,2,2,10:00-18:00,Подготовка площадки. Установка и настройка оборудования. Совещание экспертов. Внесение изменений в конкурсное задание. Корректировка критериев.
2,3,1,12:00-16:00,Работа экспертов на площадках. Подготовка рабочих мест. Внесение изменений в задание. Актуализация критериев оценки. Занесение критериев в CIS. Распределение полномочий экспертов. Обучение новых экспертов. Подготовка раздаточных материалов. Оформление информационных стендов на площадке. Изучение регламента и стандартов WS.
3,4,0,16:00-17:00,Торжественная церемония открытия чемпионата.
4,0,0,17:00-19:00,Работа на площадках. Собрание участников и экспертов. Регистрация. Знакомство участников с рабочими местами. Жеребьевка. Инструктаж по ТБ. Изучение регламента и стандартов WS.
